Destination Zone,,,,Up_to_2kg,X2.01kg_to_3kg,,X3.01kg_to_5kg,X5.01kg_to_9kg,X9.01kg_to_16kg,,X16.01kg_to_22kg
N0,Sydney Metro,,,$10.48,$10.91,,$11.80,$13.54,$16.59,,$19.24
N1,Sydney,,,$10.48,$10.91,,$11.80,$13.54,$16.59,,$19.24
GF,Gosford,,,$10.60,$11.14,,$12.25,$14.43,$18.30,,$21.74
WG,Wollongong,,,$10.60,$11.14,,$12.25,$14.43,$18.30,,$21.74
NC,Newcastle,,,$10.60,$11.14,,$12.25,$14.43,$18.30,,$21.74
CB,Canberra,,,$10.60,$11.14,,$12.25,$14.43,$18.30,,$21.74
N3,Albury,,,$10.53,$10.76,,$11.23,$12.16,$13.81,,$15.92
N4,Tweed Heads,,,$13.89,$14.67,,$16.21,$19.29,$24.69,,$29.46
N2,NSW Country,,,$14.25,$15.34,,$17.57,$22.00,$29.76,,$35.50
V0,Melbourne Metro,,,$9.18,$9.18,,$9.18,$9.18,$9.18,,$9.18
V1,Melbourne,,,$10.05,$10.05,,$10.05,$10.05,$10.05,,$10.05
GL,Geelong,,,$10.31,$10.36,,$10.49,$10.78,$11.26,,$12.43
BR,Ballarat,,,$10.47,$10.65,,$11.02,$11.76,$13.02,,$14.85
V3,Wodonga,,,$11.69,$11.79,,$11.97,$12.36,$13.02,,$14.85
V2,VIC Country,,,$11.83,$12.08,,$12.55,$13.52,$15.17,,$17.81
Q0,Brisbane Metro,,,$10.47,$10.90,,$11.77,$13.49,$16.48,,$19.50
Q1,Brisbane,,,$10.47,$10.90,,$11.77,$13.49,$16.48,,$19.50
IP,Ipswich,,,$12.52,$13.03,,$14.08,$16.16,$19.81,,$24.06
GC,Gold Coast,,,$10.87,$11.54,,$12.91,$15.62,$20.40,,$24.88
Q5,Coolangatta,,,$13.41,$13.71,,$14.31,$15.53,$17.65,,$21.10
SC,Sunshine Coast,,,$12.52,$13.03,,$14.08,$16.16,$19.81,,$24.06
Q2,QLD Country Near,,,$15.15,$16.45,,$19.01,$24.17,$33.18,,$41.49
Q3,QLD Country Mid,,,$15.50,$16.87,,$19.58,$25.04,$34.58,,$43.31
Q4,QLD Country North,,,$15.79,$17.21,,$20.02,$25.68,$35.58,,$44.60
S0,Adelaide Metro,,,$10.48,$10.91,,$11.80,$13.54,$16.59,,$19.24
S1,Adelaide,,,$10.48,$10.91,,$11.80,$13.54,$16.59,,$19.24
S2,SA Country,,,$14.42,$15.51,,$17.73,$22.10,$29.77,,$36.10
W0,Perth Metro,,,$12.60,$13.05,,$13.95,$15.75,$18.89,,$22.93
W1,Perth,,,$12.60,$13.05,,$13.95,$15.75,$18.89,,$22.93
W2,WA Country South,,,$16.20,$17.29,,$19.46,$23.80,$31.42,,$40.16
W3,WA Country North,,,$16.52,$17.64,,$19.86,$24.35,$32.17,,$41.12
T0,Tasmania Select,,,$12.68,$13.89,,$16.34,$21.23,$29.76,,$34.99
T1,Tasmania,,,$12.68,$13.89,,$16.34,$21.23,$29.76,,$34.99
NT1,NT Near,,,$16.84,$18.31,,$21.23,$27.06,$37.30,,$48.23
NT2,NT Remote,,,$18.59,$21.80,,$28.19,$41.01,$63.44,,$82.46
NF,Norfolk Is*,,,$17.09,$20.41,,$27.04,$40.31,$63.52,,$82.09
W4,Christmas & Cocos Is*,,,$16.41,$17.66,,$20.22,$25.27,$34.16,,$43.92
AAT,Aust Antarctic Territory*,,,$15.46,$18.88,,$25.74,$39.46,$63.43,,$75.68
