Customer Code,Regular.VIC,Express.VIC,Regular.NSW,Express.NSW,International,ELMS,Wine.VIC,Wine.NSW,OnDemand,APGL,All.services,"Road.Express,Priority,Local,Fees.and.Surcharges",Road.Express,VIC.Borders,NSW.Borders,VIC.Cartage,NSW.Cartage,SEKO,All.Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,15.00%,15.00%,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGN,20.00%,20.00%,,,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASL,12.50%,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBD,12.50%,10.00%,,,10.00%,10.00%,,,,,10.00%,21.00%,21.00%,,,,,,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBL,15.00%,15.00%,15.00%,15.00%,,,,,,,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,12.50%,12.50%,,,20.00%,,,,,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFT,10.00%,10.00%,10.00%,10.00%,15.00%,,,,,,,10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLE,12.50%,10.00%,,,10.00%,15.00%,,,,,,21.00%,,20.00%,,,,10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLU,15.00%,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMA,,,15.00%,15.00%,15.00%,,,,,,,,15.00%,,,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB,,,10.00%,10.00%,10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNK,10.00%,10.00%,10.00%,10.00%,15.00%,,,,,,,10.00%,,10.00%,10.00%,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOO,7.50%,7.50%,,,7.50%,,,,10.00%,,10.00%,10.00%,,10.00%,,,,10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBG,10.00%,10.00%,,,10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBX,,,10.00%,10.00%,10.00%,,,,12.00%,,,15.00%,,,,,10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCD,15.00%,15.00%,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDN,,,,,,,,,,,,,,12.50%,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHW,10.00%,10.00%,,,10.00%,,,,15.00%,,,21.00%,,,,,,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CKD,,,15.00%,15.00%,15.00%,,,,,,,,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRL,15.00%,15.00%,,,15.00%,,,,,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVA,7.50%,7.50%,,,7.50%,,15.00%,,15.00%,,,21.00%,21.00%,20.00%,,10.00%,,10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWC,10.00%,10.00%,10.00%,10.00%,,,7.50%,7.50%,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,15.00%,15.00%,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZD,,,15.00%,15.00%,15.00%,,,,,,,15.00%,,,15.00%,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECO,10.00%,10.00%,10.00%,10.00%,15.00%,,,,,,,10.00%,10.00%,10.00%,10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECR,17.50%,17.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENP,10.00%,10.00%,10.00%,10.00%,15.00%,,,,,,,10.00%,,10.00%,10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETQ,,,15.00%,15.00%,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETT,15.00%,15.00%,,,10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEV,12.50%,12.50%,,,,,,,,,,,,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLT,,,20.00%,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRE,15.00%,15.00%,,,15.00%,,,,,,,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRO,15.00%,15.00%,,,15.00%,,,,,,,21.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUN,,,12.50%,12.50%,12.50%,,,,,,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBE,10.00%,10.00%,,,10.00%,10.00%,,,,,,21.00%,21.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GFC,15%,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHC,20.00%,20.00%,,,,,,,,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLO,12.50%,12.50%,12.50%,12.50%,12.50%,,,,,,,,,12.50%,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAG,10.00%,10.00%,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBT,15.00%,15.00%,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP,12.50%,12.50%,12.50%,12.50%,12.50%,,,,,,,,15.00%,12.50%,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMY,10.00%,10.00%,,,10.00%,,,,,,,15.00%,,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
