Destination Zones,,Up_to_500g,X501g_to_1kg,X1.01kg_to_2kg,X2.01kg_to_3kg,X3.01kg_to_4kg,X4.01kg_to_5kg,X5.01kg_to_7kg,X7.01kg_to_10kg,X10.01kg_to_15kg,X15.01kg_to_22kg,Basic,Per_Kg,<-Over22kg
N0,Sydney Metro,5.73,6.77,6.84,6.9,6.93,6.97,7.39,7.95,9.5,9.91,7.02,0.81,
N1,Sydney,7.46,8.05,8.39,8.73,9.13,9.53,9.98,11.2,12.42,14.87,7.53,0.96,
GF,Gosford,7.46,8.05,8.39,8.73,9.13,9.53,9.98,11.2,12.42,14.87,7.53,0.96,
WG,Wollongong,7.46,8.05,8.39,8.73,9.13,9.53,9.98,11.2,12.42,14.87,7.53,0.96,
NC,Newcastle,7.46,8.05,8.39,8.73,9.13,9.53,9.98,11.2,12.42,14.87,7.53,0.96,
CB,Canberra,7.46,8.05,8.39,8.73,9.13,9.53,9.98,11.2,12.42,14.87,7.53,0.96,
N3,Albury,7.46,8.05,8.39,8.73,9.13,9.53,9.98,11.2,12.42,14.87,7.53,0.96,
N4,Tweed Heads,7.46,8.05,8.39,8.73,9.13,9.53,9.98,11.2,12.42,14.87,7.53,0.96,
N2,NSW Country,12.77,14.65,15.78,16.91,18.21,19.5,20.87,24.83,28.79,36.71,12.95,4.07,
V0,Melbourne Metro,7.51,8.43,8.98,9.53,10.18,10.84,11.5,13.44,15.38,19.27,7.61,1.2,
V1,Melbourne,8.03,9.17,9.85,10.54,11.33,12.13,12.9,15.27,17.65,22.4,8.14,1.34,
GL,Geelong,8.03,9.17,9.85,10.54,11.33,12.13,12.9,15.27,17.65,22.4,8.14,1.34,
BR,Ballarat,8.03,9.17,9.85,10.54,11.33,12.13,12.9,15.27,17.65,22.4,8.14,1.34,
V3,Wodonga,8.03,9.17,9.85,10.54,11.33,12.13,12.9,15.27,17.65,22.4,8.14,1.34,
V2,VIC Country,13.52,15.85,17.25,18.64,20.29,21.94,23.54,28.43,33.32,43.1,13.76,4.38,
Q0,Brisbane Metro,7.51,8.43,8.98,9.53,10.18,10.84,11.5,13.44,15.38,19.27,7.61,1.2,
Q1,Brisbane,8.03,9.17,9.85,10.54,11.33,12.13,12.9,15.27,17.65,22.4,8.14,1.34,
IP,Ipswich,8.03,9.17,9.85,10.54,11.33,12.13,12.9,15.27,17.65,22.4,8.14,1.34,
GC,Gold Coast,8.03,9.17,9.85,10.54,11.33,12.13,12.9,15.27,17.65,22.4,8.14,1.34,
Q5,Coolangatta,8.03,9.17,9.85,10.54,11.33,12.13,12.9,15.27,17.65,22.4,8.14,1.34,
SC,Sunshine Coast,8.03,9.17,9.85,10.54,11.33,12.13,12.9,15.27,17.65,22.4,8.14,1.34,
Q2,QLD Country Near,13.52,15.85,17.25,18.64,20.29,21.94,23.54,28.43,33.32,43.1,13.76,4.38,
Q3,QLD Country Mid,13.52,15.85,17.25,18.64,20.29,21.94,23.54,28.43,33.32,43.1,13.76,4.38,
Q4,QLD Country North,13.52,15.85,17.25,18.64,20.29,21.94,23.54,28.43,33.32,43.1,13.76,4.38,
S0,Adelaide Metro,7.51,8.43,8.98,9.53,10.18,10.84,11.5,13.44,15.38,19.27,7.61,1.2,
S1,Adelaide,8.03,9.17,9.85,10.54,11.33,12.13,12.9,15.27,17.65,22.4,8.14,1.34,
S2,SA Country,13.52,15.85,17.25,18.64,20.29,21.94,23.54,28.43,33.32,43.1,13.76,4.38,
W0,Perth Metro,8.71,10.39,11.37,12.36,13.53,14.7,15.88,19.39,22.89,29.9,8.87,1.72,
W1,Perth,9.96,12.67,14.31,15.95,17.83,19.72,21.63,27.33,33.03,44.43,10.23,2.45,
W2,WA Country South,14.07,18.26,20.78,23.3,26.24,29.18,32.13,40.95,49.77,67.41,14.49,5.69,
W3,WA Country North,14.07,18.26,20.78,23.3,26.24,29.18,32.13,40.95,49.77,67.41,14.49,5.69,
T0,Tasmania Select,9.96,12.67,14.31,15.95,17.83,19.72,21.63,27.33,33.03,44.43,10.23,2.45,
T1,Tasmania,14.07,18.26,20.78,23.3,26.24,29.18,32.13,40.95,49.77,67.41,14.49,5.69,
NT1,NT Near,11.87,16.06,18.58,21.1,24.04,26.98,29.93,38.75,47.57,65.21,12.29,3.49,
NT2,NT Remote,14.07,18.26,20.78,23.3,26.24,29.18,32.13,40.95,49.77,67.41,14.49,5.69,
NF,Norfolk Is*,14.07,18.26,20.78,23.3,26.24,29.18,32.13,40.95,49.77,67.41,14.49,5.69,
W4,Christmas & Cocos Is*,14.07,18.26,20.78,23.3,26.24,29.18,32.13,40.95,49.77,67.41,14.49,5.69,
AAT,Aust Antarctic Territory*,14.07,18.26,20.78,23.3,26.24,29.18,32.13,40.95,49.77,67.41,14.49,5.69,
