Destination Zones,,Up_to_500g,X501g_to_1kg,X1.01kg_to_2kg,X2.01kg_to_3kg,X3.01kg_to_4kg,X4.01kg_to_5kg,X5.01kg_to_7kg,X7.01kg_to_10kg,X10.01kg_to_15kg,X15.01kg_to_22kg,Basic,Per_Kg,<-Over22kg
N0,Sydney Metro,4.41,4.57,4.64,4.7,4.73,4.77,5.19,5.75,7.3,7.71,4.82,0.26,
N1,Sydney,5.26,5.85,6.19,6.53,6.93,7.33,7.78,9,10.22,12.67,5.33,0.41,
GF,Gosford,5.26,5.85,6.19,6.53,6.93,7.33,7.78,9,10.22,12.67,5.33,0.41,
WG,Wollongong,5.26,5.85,6.19,6.53,6.93,7.33,7.78,9,10.22,12.67,5.33,0.41,
NC,Newcastle,5.26,5.85,6.19,6.53,6.93,7.33,7.78,9,10.22,12.67,5.33,0.41,
CB,Canberra,5.26,5.85,6.19,6.53,6.93,7.33,7.78,9,10.22,12.67,5.33,0.41,
N3,Albury,5.26,5.85,6.19,6.53,6.93,7.33,7.78,9,10.22,12.67,5.33,0.41,
N4,Tweed Heads,5.26,5.85,6.19,6.53,6.93,7.33,7.78,9,10.22,12.67,5.33,0.41,
N2,NSW Country,8.37,10.25,11.38,12.51,13.81,15.1,16.47,20.43,24.39,32.31,8.55,1.32,
V0,Melbourne Metro,5.31,6.23,6.78,7.33,7.98,8.64,9.3,11.24,13.18,17.07,5.41,0.65,
V1,Melbourne,5.83,6.97,7.65,8.34,9.13,9.93,10.7,13.07,15.45,20.2,5.94,0.79,
GL,Geelong,5.83,6.97,7.65,8.34,9.13,9.93,10.7,13.07,15.45,20.2,5.94,0.79,
BR,Ballarat,5.83,6.97,7.65,8.34,9.13,9.93,10.7,13.07,15.45,20.2,5.94,0.79,
V3,Wodonga,5.83,6.97,7.65,8.34,9.13,9.93,10.7,13.07,15.45,20.2,5.94,0.79,
V2,VIC Country,9.12,11.45,12.85,14.24,15.89,17.54,19.14,24.03,28.92,38.7,9.36,1.63,
Q0,Brisbane Metro,5.31,6.23,6.78,7.33,7.98,8.64,9.3,11.24,13.18,17.07,5.41,0.65,
Q1,Brisbane,5.83,6.97,7.65,8.34,9.13,9.93,10.7,13.07,15.45,20.2,5.94,0.79,
IP,Ipswich,5.83,6.97,7.65,8.34,9.13,9.93,10.7,13.07,15.45,20.2,5.94,0.79,
GC,Gold Coast,5.83,6.97,7.65,8.34,9.13,9.93,10.7,13.07,15.45,20.2,5.94,0.79,
Q5,Coolangatta,5.83,6.97,7.65,8.34,9.13,9.93,10.7,13.07,15.45,20.2,5.94,0.79,
SC,Sunshine Coast,5.83,6.97,7.65,8.34,9.13,9.93,10.7,13.07,15.45,20.2,5.94,0.79,
Q2,QLD Country Near,9.12,11.45,12.85,14.24,15.89,17.54,19.14,24.03,28.92,38.7,9.36,1.63,
Q3,QLD Country Mid,9.12,11.45,12.85,14.24,15.89,17.54,19.14,24.03,28.92,38.7,9.36,1.63,
Q4,QLD Country North,9.12,11.45,12.85,14.24,15.89,17.54,19.14,24.03,28.92,38.7,9.36,1.63,
S0,Adelaide Metro,5.31,6.23,6.78,7.33,7.98,8.64,9.3,11.24,13.18,17.07,5.41,0.65,
S1,Adelaide,5.83,6.97,7.65,8.34,9.13,9.93,10.7,13.07,15.45,20.2,5.94,0.79,
S2,SA Country,9.12,11.45,12.85,14.24,15.89,17.54,19.14,24.03,28.92,38.7,9.36,1.63,
W0,Perth Metro,6.51,8.19,9.17,10.16,11.33,12.5,13.68,17.19,20.69,27.7,6.67,1.17,
W1,Perth,7.76,10.47,12.11,13.75,15.63,17.52,19.43,25.13,30.83,42.23,8.03,1.9,
W2,WA Country South,9.67,13.86,16.38,18.9,21.84,24.78,27.73,36.55,45.37,63.01,10.09,2.94,
W3,WA Country North,9.67,13.86,16.38,18.9,21.84,24.78,27.73,36.55,45.37,63.01,10.09,2.94,
T0,Tasmania Select,7.76,10.47,12.11,13.75,15.63,17.52,19.43,25.13,30.83,42.23,8.03,1.9,
T1,Tasmania,9.67,13.86,16.38,18.9,21.84,24.78,27.73,36.55,45.37,63.01,10.09,2.94,
NT1,NT Near,9.67,13.86,16.38,18.9,21.84,24.78,27.73,36.55,45.37,63.01,10.09,2.94,
NT2,NT Remote,9.67,13.86,16.38,18.9,21.84,24.78,27.73,36.55,45.37,63.01,10.09,2.94,
NF,Norfolk Is*,9.67,13.86,16.38,18.9,21.84,24.78,27.73,36.55,45.37,63.01,10.09,2.94,
W4,Christmas & Cocos Is*,9.67,13.86,16.38,18.9,21.84,24.78,27.73,36.55,45.37,63.01,10.09,2.94,
AAT,Aust Antarctic Territory*,9.67,13.86,16.38,18.9,21.84,24.78,27.73,36.55,45.37,63.01,10.09,2.94,
