Destination Zones,,Up_to_500g,X501g_to_1kg,X1.01kg_to_2kg,X2.01kg_to_3kg,X3.01kg_to_4kg,X4.01kg_to_5kg,X5.01kg_to_7kg,X7.01kg_to_10kg,X10.01kg_to_15kg,X15.01kg_to_22kg,Basic,Per_Kg,<-Over22kg
N0,Sydney Metro,6.08,7.34,7.77,8.24,8.88,9.27,11.43,13.29,16.85,21.77,9.3,1.04,
N1,Sydney,6.91,8.04,8.7,9.28,10.1,10.55,12.19,13.42,17.15,22.16,10.37,1.01,
GF,Gosford,6.91,8.19,8.99,9.75,10.74,11.32,13.37,15.05,19.81,26.38,11.02,1.31,
WG,Wollongong,6.91,8.19,8.99,9.75,10.74,11.32,13.37,15.05,19.81,26.38,11.02,1.31,
NC,Newcastle,6.91,8.19,8.99,9.75,10.74,11.32,13.37,15.05,19.81,26.38,11.02,1.31,
CB,Canberra,6.91,8.19,8.99,9.75,10.74,11.32,13.37,15.05,19.81,26.38,11.02,1.31,
N3,Albury,6.91,8.68,9.53,10.26,11.27,11.87,13.97,15.64,20.45,27.1,11.57,1.32,
N4,Tweed Heads,6.91,11.09,12.24,13.28,14.66,15.52,18.38,20.76,27.47,36.76,15.05,1.85,
N2,NSW Country,8.73,14.21,15.35,16.67,18.47,19.53,23.11,27.52,37.74,50.15,18.78,2.71,
V0,Melbourne Metro,4.68,4.68,4.77,5.01,5.16,5.16,5.77,6.45,8.26,8.8,5.5,0.29,
V1,Melbourne,6.19,6.6,6.87,7.13,7.55,7.82,9.42,10.51,13.29,16.68,7.75,0.73,
GL,Geelong,6.19,6.6,6.87,7.13,7.55,7.82,9.42,10.51,13.29,16.68,7.75,0.73,
BR,Ballarat,6.19,6.6,6.87,7.13,7.55,7.82,9.42,10.51,13.29,16.68,7.75,0.73,
V3,Wodonga,6.19,6.6,6.87,7.13,7.55,7.82,9.42,10.51,13.29,16.68,7.75,0.73,
V2,VIC Country,8.56,9.6,10.57,11.55,12.42,13.46,16.37,20,28.16,37.46,12.63,2.12,
Q0,Brisbane Metro,6.08,7.44,8.01,8.58,9.35,9.85,12.34,14.64,19.04,25.24,9.79,1.3,
Q1,Brisbane,6.91,8.16,8.95,9.68,10.62,11.19,13.19,14.78,19.36,25.68,10.9,1.25,
IP,Ipswich,6.91,10.18,11.62,12.97,14.66,15.86,19.45,22.73,31.41,43.95,15.05,2.46,
GC,Gold Coast,6.91,8.65,9.99,11.24,12.83,13.91,17.23,20.36,28.42,40.14,13.16,2.29,
Q5,Coolangatta,6.91,11.07,12.18,13.21,14.57,15.39,18.19,20.49,27.04,36.06,14.95,1.79,
SC,Sunshine Coast,6.91,10.18,11.62,12.97,14.66,15.86,19.45,22.73,31.41,43.95,15.05,2.46,
Q2,QLD Country Near,8.73,15.1,17.15,19.41,22.29,24.31,30.17,37.76,55.07,77.56,22.66,4.74,
Q3,QLD Country Mid,8.73,15.45,17.84,20.47,23.76,26.16,32.89,41.73,61.77,88.18,24.16,5.53,
Q4,QLD Country North,8.73,15.74,18.42,21.4,25.03,27.75,35.24,45.15,67.53,97.28,25.45,6.21,
S0,Adelaide Metro,6.08,7.34,7.77,8.24,8.88,9.27,11.43,13.29,16.85,21.77,9.3,1.04,
S1,Adelaide,6.91,8.04,8.7,9.28,10.1,10.55,12.19,13.42,17.15,22.16,10.37,1.01,
S2,SA Country,8.73,14.45,15.8,17.37,19.44,20.77,24.95,30.23,42.31,57.34,19.77,3.24,
W0,Perth Metro,6.58,10.21,11.79,13.43,15,16.64,20.86,24.64,34.45,48.7,15.57,2.8,
W1,Perth,7.18,10.85,12.38,13.68,15.6,17.31,21.04,24.85,34.75,49.12,16.32,2.82,
W2,WA Country South,9.56,17.85,21.49,25.17,28.86,32.52,42.3,55.41,84.85,124.73,29.34,8.25,
W3,WA Country North,9.56,18.24,22.31,26.38,30.46,34.56,45.29,59.74,92.09,136.28,30.98,9.11,
T0,Tasmania Select,7.18,10.16,10.96,11.58,12.68,13.58,15.61,17.37,22.58,29.68,13.27,1.42,
T1,Tasmania,9.56,13.29,14.08,14.88,15.66,16.45,19.21,22.58,30.43,39.69,15.92,2.06,
NT1,NT Near,9.56,18.22,22.24,26.3,30.33,34.38,45.04,59.39,91.5,135.34,30.84,9.04,
NT2,NT Remote,9.56,18.22,22.24,26.3,30.33,34.38,45.04,59.39,91.5,135.34,30.84,9.04,
NF,Norfolk Is*,9.56,16.26,19.54,22.82,26.12,29.42,38.2,49.92,76.29,112.03,26.56,7.39,
W4,Christmas & Cocos Is*,9.56,17.89,21.57,25.29,28.99,32.71,42.57,55.77,85.44,125.69,29.48,8.32,
AAT,Aust Antarctic Territory*,9.56,13.95,14.93,15.93,16.92,17.91,21.2,25.25,34.7,46.1,17.21,2.49,
