Destination Zones,,Up_to_500g,X501g_to_1kg,X1.01kg_to_2kg,X2.01kg_to_3kg,X3.01kg_to_4kg,X4.01kg_to_5kg,X5.01kg_to_7kg,X7.01kg_to_10kg,X10.01kg_to_15kg,X15.01kg_to_22kg,Basic,Per_Kg,<-Over22kg
N0,Sydney Metro,4.68,4.68,4.77,5.01,5.16,5.16,5.77,6.45,8.26,8.8,5.5,0.29,
N1,Sydney,6.19,6.6,6.87,7.13,7.55,7.82,9.42,10.51,13.29,16.68,7.75,0.73,
GF,Gosford,6.19,6.6,6.87,7.13,7.55,7.82,9.42,10.51,13.29,16.68,7.75,0.73,
WG,Wollongong,6.19,6.6,6.87,7.13,7.55,7.82,9.42,10.51,13.29,16.68,7.75,0.73,
NC,Newcastle,6.19,6.6,6.87,7.13,7.55,7.82,9.42,10.51,13.29,16.68,7.75,0.73,
CB,Canberra,6.19,6.6,6.87,7.13,7.55,7.82,9.42,10.51,13.29,16.68,7.75,0.73,
N3,Albury,6.19,6.6,6.87,7.13,7.55,7.82,9.42,10.51,13.29,16.68,7.75,0.73,
N4,Tweed Heads,6.19,6.6,6.87,7.13,7.55,7.82,9.42,10.51,13.29,16.68,7.75,0.73,
N2,NSW Country,8.56,9.88,11.11,12.38,13.55,14.9,18.54,23.3,33.82,46.28,13.78,2.78,
V0,Melbourne Metro,6.08,7.34,7.77,8.24,8.88,9.27,11.43,13.29,16.85,21.77,9.3,1.04,
V1,Melbourne,6.91,8.04,8.7,9.28,10.1,10.55,12.19,13.42,17.15,22.16,10.37,1.01,
GL,Geelong,6.91,9.67,10.56,11.37,12.44,13.06,15.3,17.04,22.15,29.11,12.76,1.39,
BR,Ballarat,6.91,11.09,12.24,13.28,14.66,15.52,18.38,20.76,27.47,36.76,15.05,1.85,
V3,Wodonga,6.91,8.68,9.53,10.26,11.27,11.87,13.97,15.64,20.45,27.1,11.57,1.32,
V2,VIC Country,8.73,14.21,15.35,16.67,18.47,19.53,23.11,27.52,37.74,50.15,18.78,2.71,
Q0,Brisbane Metro,6.08,7.34,7.77,8.24,8.88,9.27,11.43,13.29,16.85,21.77,9.3,1.04,
Q1,Brisbane,6.91,8.04,8.7,9.28,10.1,10.55,12.19,13.42,17.15,22.16,10.37,1.01,
IP,Ipswich,6.91,9.83,10.89,11.87,13.12,13.91,16.57,18.8,25.01,33.71,13.47,1.72,
GC,Gold Coast,6.91,8.32,9.29,10.2,11.39,12.13,14.57,16.68,22.46,30.63,11.69,1.61,
Q5,Coolangatta,6.91,8.68,9.53,10.26,11.27,11.87,13.97,15.64,20.45,27.1,11.57,1.32,
SC,Sunshine Coast,6.91,9.83,10.89,11.87,13.12,13.91,16.57,18.8,25.01,33.71,13.47,1.72,
Q2,QLD Country Near,8.73,14.47,15.9,17.49,19.59,20.96,25.2,30.6,42.91,58.35,19.92,3.32,
Q3,QLD Country Mid,8.73,15.15,17.28,19.6,22.56,24.64,30.65,38.49,56.28,79.51,22.94,4.89,
Q4,QLD Country North,8.73,15.45,17.84,20.47,23.76,26.16,32.89,41.73,61.77,88.18,24.16,5.53,
S0,Adelaide Metro,6.08,7.44,8.01,8.58,9.35,9.85,12.34,14.64,19.04,25.24,9.79,1.3,
S1,Adelaide,6.91,8.16,8.95,9.68,10.62,11.19,13.19,14.78,19.36,25.68,10.9,1.25,
S2,SA Country,8.73,14.93,16.84,18.91,21.6,23.45,28.92,35.96,52.01,72.76,21.96,4.39,
W0,Perth Metro,6.58,10.21,11.79,13.43,15,16.64,20.86,24.64,34.45,48.7,15.57,2.8,
W1,Perth,7.18,10.85,12.38,13.68,15.6,17.31,21.04,24.85,34.75,49.12,16.32,2.82,
W2,WA Country South,9.56,18.12,22.07,26.04,30,33.97,44.43,58.5,89.98,132.92,30.5,8.86,
W3,WA Country North,9.56,18.24,22.31,26.38,30.46,34.56,45.29,59.74,92.09,136.28,30.98,9.11,
T0,Tasmania Select,7.18,10.58,11.84,12.87,14.47,15.86,18.91,21.96,30.02,41.56,15.14,2.27,
T1,Tasmania,9.56,13.85,15.2,16.52,17.86,19.21,23.3,28.53,40.47,55.59,18.16,3.23,
NT1,NT Near,9.56,18.22,22.24,26.3,30.33,34.38,45.04,59.39,91.5,135.34,30.84,9.04,
NT2,NT Remote,9.56,18.22,22.24,26.3,30.33,34.38,45.04,59.39,91.5,135.34,30.84,9.04,
NF,Norfolk Is*,9.56,15.77,18.58,21.37,24.17,26.99,34.61,44.69,67.49,98.07,24.58,6.35,
W4,Christmas & Cocos Is*,9.56,17.89,21.57,25.29,28.99,32.71,42.57,55.77,85.44,125.69,29.48,8.32,
AAT,Aust Antarctic Territory*,9.56,14.6,16.26,17.9,19.54,21.18,26.04,32.31,46.54,64.88,19.87,3.88,
