"","BILLING.DOC","DESCRIPTION","SERVICE.DATE","avg_division"
"1",7432709472,"On Demand Tonight",1022024,0
"2",7432709472,"STC Parcels Domestic Fuel Surcharge",1022024,0
"3",7432709473,"On Demand Tonight",1022024,0
"4",7432709473,"STC Parcels Domestic Fuel Surcharge",1022024,0
"5",7432709474,"On Demand Tonight",2022024,0
"6",7432709474,"STC Parcels Domestic Fuel Surcharge",2022024,0
"7",7432716035,"On Demand Afternoon",1022024,0
"8",7432716035,"STC Parcels Domestic Fuel Surcharge",1022024,0
"9",7432716036,"On Demand Afternoon",1022024,0
"10",7432716036,"STC Parcels Domestic Fuel Surcharge",1022024,0
"11",7432716037,"On Demand Afternoon",1022024,0
"12",7432716037,"STC Parcels Domestic Fuel Surcharge",1022024,0
"13",7432716038,"On Demand Afternoon",1022024,0
"14",7432716038,"STC Parcels Domestic Fuel Surcharge",1022024,0
"15",7432716039,"On Demand Afternoon",1022024,0
"16",7432716039,"STC Parcels Domestic Fuel Surcharge",1022024,0
"17",7432716040,"On Demand Afternoon",1022024,0
"18",7432716040,"STC Parcels Domestic Fuel Surcharge",1022024,0
"19",7432716041,"On Demand Afternoon",1022024,0
"20",7432716041,"STC Parcels Domestic Fuel Surcharge",1022024,0
"21",7432716042,"On Demand Afternoon",1022024,0
"22",7432716042,"STC Parcels Domestic Fuel Surcharge",1022024,0
"23",7432716043,"On Demand Afternoon",1022024,0
"24",7432716043,"STC Parcels Domestic Fuel Surcharge",1022024,0
"25",7432716044,"On Demand Afternoon",1022024,0
"26",7432716044,"STC Parcels Domestic Fuel Surcharge",1022024,0
"27",7432716045,"On Demand Afternoon",1022024,0
"28",7432716045,"STC Parcels Domestic Fuel Surcharge",1022024,0
"29",7432716046,"On Demand Afternoon",1022024,0
"30",7432716046,"STC Parcels Domestic Fuel Surcharge",1022024,0
"31",7432716047,"On Demand Afternoon",1022024,0
"32",7432716047,"STC Parcels Domestic Fuel Surcharge",1022024,0
"33",7432716048,"On Demand Afternoon",1022024,0
"34",7432716048,"STC Parcels Domestic Fuel Surcharge",1022024,0
"35",7432716049,"On Demand Afternoon",1022024,0
